Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-05-02,154.49,155.16,153.76,154.95,3295105.0,0.0,1.0,142.07673543119057,142.6929009612501,141.40539089843912,142.49977445182844,3295105.0
2017-05-01,156.22,156.27,154.21,154.21,3152949.0,0.0,1.0,143.66773000880698,143.71371251105023,141.8192334186284,141.8192334186284,3152949.0
2017-04-28,156.01,156.25,154.102,156.1,4983041.0,0.0,1.0,143.47460349938532,143.69531951015293,141.71991121378295,143.55737200342318,4983041.0
2017-04-27,154.69,156.27,153.89,156.12,5881432.0,0.0,1.0,142.26066544016356,143.71371251105023,141.52494540427156,143.5757650043205,5881432.0
2017-04-26,153.11,154.8076,152.4,154.22,5120177.0,0.0,1.0,140.8076183692769,142.3688162854397,140.15466683742275,141.82842991907702,5120177.0
2017-04-25,152.79,154.65,152.79,153.03,5496453.0,0.0,1.0,140.5133303549201,142.22387943836895,140.5133303549201,140.7340463656877,5496453.0
2017-04-24,151.08,152.0601,150.85,151.89,5077174.0,0.0,1.0,138.940728778201,139.84207778717314,138.72920926788203,139.6856453145416,5077174.0
2017-04-21,148.49,150.146,148.4,150.0,5019927.0,0.0,1.0,136.5588351620007,138.08177563629707,136.47606665796283,137.9475067297468,5019927.0
2017-04-20,147.66,149.05,147.44,148.72,3700195.0,0.0,1.0,135.79552562476275,137.0738391871251,135.59320261489245,136.77035467231963,3700195.0
2017-04-19,147.93,148.4,147.02,147.22,3460975.0,0.0,1.0,136.0438311368763,136.47606665796283,135.20694959604918,135.39087960502215,3460975.0
2017-04-18,147.06,148.18,146.77,147.76,2969413.0,0.0,1.0,135.24373559784377,136.27374364809256,134.97703708483294,135.88749062924924,2969413.0
2017-04-17,145.9,147.31,145.76,147.31,3467650.0,0.0,1.0,134.1769415458004,135.47364810906,134.04819053951928,135.47364810906,3467650.0
2017-04-13,146.42,147.01,145.87,145.91,2346886.0,0.0,1.0,134.65515956913018,135.19775309560052,134.14935204445445,134.18613804624903,2346886.0
2017-04-12,147.42,147.57,146.367,146.54,4445599.0,0.0,1.0,135.57480961399514,135.7127571207249,134.60641811675234,134.76551757451398,4445599.0
2017-04-11,147.91,148.65,147.1,148.2,2844794.0,0.0,1.0,136.025438135979,136.7059791691791,135.28052159963835,136.29213664898984,2844794.0
2017-04-10,146.96,148.995,146.75,148.21,5044458.0,0.0,1.0,135.15177059335727,137.0232584346575,134.9586440839356,136.3013331494385,5044458.0
